id_avaliacao,id_cliente,id_pedido,data_avaliacao,tipo,nota_nps,categoria_nps,nota_produto,nota_atendimento,nota_custo_beneficio,titulo_review,texto_review,sentimento_label,recomendaria,plataforma
REV-000054,CLI-00088,PED-000193,2025-02-27,NPS,7,Neutro,3,4,3,Bom mas pode melhorar,Interface poderia ser mais intuitiva. Levei um tempo para entender o fluxo. O suporte ajudou bastante.,Neutro,1,NPS In-App
REV-000055,CLI-00090,PED-000200,2025-04-21,NPS,9,Promotor,4,4,5,Vale cada centavo,Antes eu ficava horas no Excel tentando entender os números. Agora em 20 minutos tenho tudo pronto.,Positivo,1,NPS In-App
REV-000056,CLI-00091,,2025-12-31,NPS,9,Promotor,4,4,4,Dados que contam histórias,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,NPS In-App
REV-000057,CLI-00092,PED-000203,2025-05-23,NPS,9,Promotor,5,5,5,Recomendo sem hesitar,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,Email pós-compra
REV-000058,CLI-00095,PED-000209,2025-05-12,NPS,10,Promotor,5,5,5,Recomendo sem hesitar,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,Email pós-compra
REV-000059,CLI-00096,PED-000214,2025-04-14,NPS,10,Promotor,5,5,5,Transformou minha rotina de análise,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,Email pós-compra
REV-000060,CLI-00097,PED-000217,2025-12-12,NPS,9,Promotor,4,4,4,Recomendo sem hesitar,Já recomendei para 3 colegas. A facilidade de uso é impressionante para quem não tem formação técnica.,Positivo,1,Email pós-compra
REV-000061,CLI-00099,PED-000222,2025-04-23,NPS,9,Promotor,5,4,5,Recomendo sem hesitar,Finalmente consegui provar para o meu diretor onde estavam as ineficiências do processo. Gerou R$50k de economia.,Positivo,1,NPS In-App
REV-000062,CLI-00100,PED-000224,2025-06-23,NPS,5,Detrator,3,3,2,Decepcionante,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,Email pós-compra
REV-000063,CLI-00101,PED-000228,2025-08-05,NPS,10,Promotor,4,5,5,Dados que contam histórias,O suporte é excepcional e o produto entrega exatamente o que promete. Renovei por mais um ano sem pensar.,Positivo,1,Google Forms
REV-000064,CLI-00105,PED-000237,2025-07-20,NPS,3,Detrator,2,1,1,Não entregou o prometido,Prefiro voltar para o Excel. A plataforma é confusa e o suporte não resolve os problemas.,Negativo,0,Email pós-compra
REV-000065,CLI-00106,PED-000239,2025-04-25,NPS,7,Neutro,4,2,3,Bom mas pode melhorar,Produto está evoluindo. Esperando as funcionalidades prometidas para renovar com mais entusiasmo.,Neutro,1,Google Forms
REV-000066,CLI-00107,PED-000241,2025-11-03,NPS,8,Neutro,4,4,5,"Produto bom, falta polimento",Bom custo-benefício para o que oferece. Gostaria de mais templates prontos.,Neutro,1,Email pós-compra
REV-000067,CLI-00111,PED-000252,2025-06-10,NPS,10,Promotor,5,5,4,Recomendo sem hesitar,Consegui fazer meu primeiro dashboard em menos de uma hora. Mostrei para a diretoria e foi aprovado na hora.,Positivo,1,Email pós-compra
REV-000068,CLI-00112,PED-000257,2025-04-24,NPS,5,Detrator,3,3,2,Vou cancelar,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,NPS In-App
REV-000069,CLI-00114,PED-000261,2025-06-26,NPS,6,Detrator,3,3,3,Decepcionante,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,NPS In-App
REV-000070,CLI-00115,PED-000263,2025-09-02,NPS,4,Detrator,2,2,2,Decepcionante,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,Email pós-compra
REV-000071,CLI-00116,PED-000264,2025-08-13,NPS,3,Detrator,2,2,2,Vou cancelar,Tive muitos bugs que atrasaram meu trabalho. Não renovarei a assinatura.,Negativo,0,Google Forms
REV-000072,CLI-00117,PED-000265,2025-12-31,NPS,4,Detrator,2,3,1,Vou cancelar,Cobrado corretamente mas o produto parou de funcionar por dias sem aviso. Inaceitável.,Negativo,0,NPS In-App
